"team","argh"
"Georgia",1.9306
"Alabama",1.8
"Oklahoma",1.717
"Iowa",1.6576
"Michigan",1.5508
"Notre Dame",1.4677
"Arkansas",1.3728
"Penn State",1.355
"Cincinnati",1.3431
"Oregon",1.3253
"Texas A&M",1.2719
"Coastal Carolina",1.2719
"Maryland",1.2244
"Texas",1.2066
"BYU",1.1236
"Oklahoma State",1.1236
"UT San Antonio",1.1117
"Ohio State",1.1117
"Wake Forest",1.0405
"UCLA",1.0227
"Michigan State",1.0108
"Florida",0.9752
"Boston College",0.9337
"Clemson",0.9218
"SMU",0.9159
"Army",0.9099
"Rutgers",0.904
"Baylor",0.8862
"Ole Miss",0.8625
"Purdue",0.8091
"West Virginia",0.8091
"NC State",0.7853
"Auburn",0.7616
"LSU",0.7557
"Liberty",0.7497
"Fresno State",0.726
"Appalachian State",0.6844
"Boise State",0.6844
"Kansas State",0.6666
"Oregon State",0.6607
"Arizona State",0.6607
"Western Michigan",0.6251
"Kentucky",0.5836
"San Diego State",0.5717
"Louisiana",0.5539
"UAB",0.548
"Iowa State",0.5302
"Pittsburgh",0.5302
"Miami",0.5183
"Wisconsin",0.5183
"Wyoming",0.4352
"North Carolina",0.4293
"Nevada",0.4174
"TCU",0.3877
"Virginia Tech",0.3877
"USC",0.3818
"UCF",0.3462
"Nebraska",0.3403
"Houston",0.2572
"Air Force",0.2513
"Memphis",0.2394
"Mississippi State",0.2275
"Indiana",0.2157
"Louisville",0.2097
"Syracuse",0.1801
"Stanford",0.1623
"Utah",0.097
"Washington",0.091
"Texas Tech",0.091
"Toledo",0.0792
"Minnesota",0.0673
"Buffalo",0.0139
"Virginia",-0.0158
"Marshall",-0.0217
"Eastern Michigan",-0.0336
"Georgia Tech",-0.0573
"Missouri",-0.087
"San Jose State",-0.0929
"Florida Atlantic",-0.0988
"Tennessee",-0.2057
"South Carolina",-0.2591
"Utah State",-0.2947
"Central Michigan",-0.3006
"Tulane",-0.3065
"Troy",-0.3125
"Northwestern",-0.3243
"South Alabama",-0.3421
"Duke",-0.3837
"Charlotte",-0.4371
"Kent State",-0.4371
"East Carolina",-0.4727
"Louisiana Tech",-0.4905
"Miami (OH)",-0.5261
"Northern Illinois",-0.5736
"California",-0.621
"Illinois",-0.6388
"UTEP",-0.6804
"Hawai'i",-0.7041
"Tulsa",-0.7278
"Georgia State",-0.7456
"Colorado",-0.7634
"Ball State",-0.805
"Western Kentucky",-0.8703
"Temple",-0.9593
"Washington State",-0.9771
"Middle Tennessee",-0.983
"New Mexico",-1.0601
"Colorado State",-1.1076
"Georgia Southern",-1.1432
"Bowling Green",-1.1729
"South Florida",-1.1729
"Louisiana Monroe",-1.2322
"Rice",-1.2382
"Florida State",-1.2738
"Arkansas State",-1.2856
"North Texas",-1.3034
"Old Dominion",-1.3331
"Florida International",-1.4281
"Southern Mississippi",-1.5171
"Texas State",-1.5467
"Kansas",-1.5764
"Akron",-1.7129
"Navy",-1.7188
"Arizona",-1.7485
"Vanderbilt",-1.8434
"Ohio",-1.8612
"UNLV",-1.9384
"New Mexico State",-2.0511
"UMass",-2.0689
"Connecticut",-2.2291
