"team","pp","week"
"Connecticut",-1.0746876521833,1
"Old Dominion",-0.837203570249698,1
"New Mexico State",-1.2447970817261,1
"Alabama",1.28650372717328,1
"Oklahoma",0.986323044655063,1
"Louisiana",0.395022730866053,1
"Iowa State",0.733841831842228,1
"Clemson",1.02862147079391,1
"Ohio State",1.06285730795151,1
"Georgia",0.898270472004686,1
"Coastal Carolina",0.263410625247967,1
"Cincinnati",0.607733178979156,1
"Wisconsin",0.602148525259798,1
"USC",0.480885161255306,1
"Iowa",0.59656273921662,1
"Texas A&M",0.731627006567711,1
"Miami",0.502074022544463,1
"Oklahoma State",0.509787368508259,1
"Ball State",0.0369658420841132,1
"Indiana",0.469536930161812,1
"BYU",0.362520196507909,1
"Liberty",0.114758862483166,1
"North Carolina",0.49816386190407,1
"Oregon",0.517934131557762,1
"UCLA",0.311119932964924,1
"TCU",0.437619834952754,1
"Arizona State",0.329841523101973,1
"Notre Dame",0.652790982804777,1
"Nevada",-0.0150302315806568,1
"San Jose State",0.0301442521263573,1
"Texas",0.608920846875156,1
"Washington",0.415890723344555,1
"Appalachian State",0.306072927982548,1
"Boise State",0.271304102813315,1
"Utah",0.398701721097287,1
"Penn State",0.516868349113919,1
"West Virginia",0.287956308904683,1
"Toledo",-0.0338987278516072,1
"Minnesota",0.255962228333805,1
"LSU",0.576141680650843,1
"Auburn",0.512968682413097,1
"UT San Antonio",-0.224786450699889,1
"Colorado",0.0587077684883072,1
"Wake Forest",0.146318212650111,1
"Central Michigan",-0.162897860931549,1
"Florida",0.67791518912818,1
"Buffalo",0.135523796346673,1
"Tulsa",0.0595433895795136,1
"Western Michigan",-0.113183048408338,1
"UCF",0.308402942404393,1
"Miami (OH)",-0.173613567674482,1
"Ole Miss",0.358919608681321,1
"UAB",0.0024642575728417,1
"Georgia State",-0.138968321817688,1
"California",0.00823157089046388,1
"Boston College",0.110894949730043,1
"Army",-0.00302179906634821,1
"Northwestern",0.261597775777855,1
"Marshall",-0.0191605353764958,1
"SMU",0.0652248928298764,1
"Florida Atlantic",-0.1607795323717,1
"San Diego State",-0.0145495112901724,1
"Kansas State",0.1253510913799,1
"NC State",0.178318855052017,1
"Pittsburgh",0.167468026823117,1
"Rutgers",-0.19360481101728,1
"Virginia",0.133271548888514,1
"Wyoming",-0.0850834002890265,1
"Maryland",0.00435008764329583,1
"Tulane",0.036670378057757,1
"Mississippi State",0.225693074102821,1
"Memphis",0.129418184681287,1
"Washington State",0.0264698435459387,1
"Stanford",0.0622616137706555,1
"Baylor",0.169909053142356,1
"Houston",-0.017316993569902,1
"Oregon State",-0.0522581608709907,1
"Air Force",-0.0250628472922754,1
"Missouri",0.185955497719932,1
"Nebraska",0.0427150215230702,1
"Fresno State",-0.0698440350589134,1
"Hawai'i",-0.303650349425775,1
"Michigan",0.297322882228804,1
"Louisville",0.0872827781768579,1
"Purdue",0.0415485269106153,1
"Georgia Southern",-0.129232234253305,1
"Ohio",-0.184540597515714,1
"Troy",-0.131993351260665,1
"Eastern Michigan",-0.292681104537542,1
"East Carolina",-0.280690642266501,1
"Florida State",-0.00351612409459715,1
"Virginia Tech",0.183389142689813,1
"Arkansas",0.100048140305391,1
"Kent State",-0.316134298234115,1
"Texas Tech",0.0456780783389931,1
"Louisiana Tech",-0.359204800730283,1
"Michigan State",0.0294565401069273,1
"Illinois",-0.0959831368590234,1
"Kentucky",0.177988616116303,1
"Colorado State",-0.409612019707699,1
"Georgia Tech",-0.14636174075795,1
"Arkansas State",-0.309450899469599,1
"Rice",-0.440268633319766,1
"New Mexico",-0.590502007961752,1
"Syracuse",-0.272911544577218,1
"Tennessee",0.04782360630665,1
"Northern Illinois",-0.495694714376228,1
"Texas State",-0.547095116186395,1
"Navy",-0.276396309110248,1
"North Texas",-0.53513348227785,1
"UTEP",-0.718539478861035,1
"South Alabama",-0.552421435308358,1
"Charlotte",-0.568576399717048,1
"Middle Tennessee",-0.502953010769145,1
"Florida International",-0.612296234020118,1
"South Carolina",-0.105312932976318,1
"Arizona",-0.394719572470085,1
"Southern Mississippi",-0.444765975495711,1
"South Florida",-0.498853773803084,1
"Kansas",-0.566591288750169,1
"UNLV",-0.75799328512682,1
"Duke",-0.338949646127097,1
"Western Kentucky",-0.343377016776581,1
"Utah State",-0.559676315711388,1
"Akron",-0.961841392213082,1
"Temple",-0.553140941034805,1
"Vanderbilt",-0.496223025127278,1
"Bowling Green",-1.09060034801433,1
"Louisiana Monroe",-0.889064578957205,1
"UMass",-1.13791707282182,1
"Connecticut",-1.13519249737759,2
"Old Dominion",-0.920645543165901,2
"New Mexico State",-1.20161440948125,2
"Alabama",1.28529866722902,2
"Oklahoma",0.857449081326535,2
"Georgia",0.936902431173847,2
"Ohio State",1.01418187171137,2
"Cincinnati",0.654308682485123,2
"Iowa State",0.595791549642111,2
"Louisiana",0.273619342159204,2
"Iowa",0.698382610549659,2
"Coastal Carolina",0.247383441531136,2
"USC",0.522911660518727,2
"UCLA",0.416330590971062,2
"Clemson",0.868601851805919,2
"Texas A&M",0.716734080566647,2
"Texas",0.651724339918143,2
"Wisconsin",0.493295251168588,2
"Nevada",0.063396759383293,2
"BYU",0.336443141625859,2
"Miami",0.400137463695577,2
"Oklahoma State",0.382589614261185,2
"Oregon",0.446352859102675,2
"Notre Dame",0.576473082084876,2
"Penn State",0.596984231396098,2
"Ball State",-0.0139541924665882,2
"Liberty",0.102329881750013,2
"Appalachian State",0.304575509940202,2
"TCU",0.417271463346996,2
"Arizona State",0.294205182830005,2
"Indiana",0.326874834185783,2
"North Carolina",0.367331251795384,2
"Utah",0.409411919576257,2
"Toledo",-0.0101036028925693,2
"San Jose State",-0.0190349029131387,2
"UT San Antonio",-0.100636475761675,2
"Boise State",0.202054134265036,2
"Florida",0.651603054522615,2
"Auburn",0.550317563291178,2
"Army",0.148157907431151,2
"UCF",0.32985234337357,2
"Ole Miss",0.431476376940482,2
"West Virginia",0.174140445916332,2
"Wake Forest",0.168292713654735,2
"Minnesota",0.270561905194473,2
"Colorado",0.0372644561094573,2
"LSU",0.441262674578821,2
"Kansas State",0.234876254863861,2
"Buffalo",0.132228851929314,2
"Marshall",0.153237621627148,2
"UAB",0.0573874836501205,2
"Maryland",0.105094502640265,2
