"team","donchess"
"Cincinnati",2.751
"Georgia",2.5156
"Alabama",2.0881
"Notre Dame",1.9946
"Ohio State",1.8265
"Michigan",1.738
"Oklahoma",1.6024
"Oklahoma State",1.5135
"Wisconsin",1.3685
"Michigan State",1.3054
"Baylor",1.2645
"Ole Miss",1.228
"Oregon",1.1558
"Texas A&M",1.13
"UT San Antonio",1.1243
"Iowa State",1.1201
"Iowa",1.0924
"Wake Forest",1.0911
"Penn State",0.9764
"Arkansas",0.9615
"Clemson",0.9489
"BYU",0.9267
"Auburn",0.9077
"Kansas State",0.8889
"Pittsburgh",0.8645
"Utah",0.8536
"Purdue",0.847
"NC State",0.7808
"Mississippi State",0.7267
"Boise State",0.6808
"Louisiana",0.6774
"San Diego State",0.6429
"Texas",0.6122
"Arizona State",0.6049
"Kentucky",0.5733
"Houston",0.5644
"Virginia",0.5526
"Appalachian State",0.5375
"North Carolina",0.5189
"Florida",0.4932
"SMU",0.4818
"Miami",0.4712
"Fresno State",0.4665
"Nevada",0.4633
"Tennessee",0.4622
"West Virginia",0.4192
"Texas Tech",0.3763
"Minnesota",0.374
"Louisville",0.3722
"TCU",0.3637
"Army",0.3637
"Air Force",0.3593
"LSU",0.3583
"UCLA",0.351
"Coastal Carolina",0.2848
"Utah State",0.2339
"Maryland",0.2092
"Rutgers",0.1915
"Nebraska",0.1795
"Oregon State",0.1526
"USC",0.1485
"UCF",0.1433
"Liberty",0.1398
"Western Kentucky",0.0576
"Illinois",0.051
"Virginia Tech",0.049
"Boston College",0.0308
"Florida State",0.0239
"Washington State",0.0234
"South Carolina",-0.008
"Missouri",-0.0707
"Syracuse",-0.0818
"Washington",-0.1302
"Western Michigan",-0.147
"UAB",-0.185
"East Carolina",-0.2013
"Marshall",-0.216
"Georgia Tech",-0.2224
"Indiana",-0.2302
"Northern Illinois",-0.2348
"Memphis",-0.2373
"Stanford",-0.2568
"Wyoming",-0.2766
"Georgia State",-0.301
"Toledo",-0.3139
"Central Michigan",-0.3171
"California",-0.338
"Ball State",-0.3857
"Northwestern",-0.4034
"Miami (OH)",-0.4097
"Kent State",-0.4473
"Tulsa",-0.4738
"Colorado State",-0.4911
"San Jose State",-0.5611
"Eastern Michigan",-0.5924
"Florida Atlantic",-0.6547
"Colorado",-0.7117
"Duke",-0.7417
"Kansas",-0.7427
"Troy",-0.7564
"Navy",-0.7873
"Middle Tennessee",-0.8201
"Hawai'i",-0.8315
"Louisiana Tech",-0.8976
"UTEP",-0.9517
"South Alabama",-0.9906
"UNLV",-0.9936
"South Florida",-1.0116
"Buffalo",-1.0128
"Ohio",-1.092
"Charlotte",-1.1029
"Old Dominion",-1.158
"North Texas",-1.1808
"New Mexico",-1.2186
"Temple",-1.2216
"Vanderbilt",-1.2277
"Rice",-1.2625
"Georgia Southern",-1.2855
"Louisiana Monroe",-1.2929
"Arizona",-1.3393
"Bowling Green",-1.4007
"Arkansas State",-1.4192
"Texas State",-1.4223
"Tulane",-1.5671
"Akron",-1.8875
"Southern Mississippi",-2.1504
"Florida International",-2.1717
"Connecticut",-2.2105
"New Mexico State",-2.2584
"UMass",-2.346
