"team","argh"
"Alabama",2.37762022495441
"Georgia",2.25503676012598
"Iowa",1.95919943490066
"Oklahoma",1.95009066909243
"Texas A&M",1.79651232483563
"Cincinnati",1.6541704159088
"Penn State",1.61012878264243
"Oregon",1.56629751607967
"Clemson",1.54882400912822
"Ohio State",1.53138425810657
"Coastal Carolina",1.37595017352848
"Wisconsin",1.35031199772724
"UCLA",1.24010070370143
"BYU",1.23168279154448
"Liberty",1.20648050708993
"Nevada",1.16464843207126
"TCU",1.09816466795765
"North Carolina",1.09816466795765
"USC",1.02403101000512
"Notre Dame",1.00765211917353
"Iowa State",0.983148867138411
"Florida",0.93437705861397
"Oklahoma State",0.885918896953064
"Miami",0.869836026196962
"Louisiana",0.805854661698451
"Appalachian State",0.797896447305039
"Arizona State",0.797896447305039
"UT San Antonio",0.758237186043158
"Indiana",0.758237186043158
"Army",0.718797992961742
"Texas",0.703084052804248
"UCF",0.640581927026221
"Minnesota",0.578647271898481
"Boise State",0.570945451292768
"Michigan",0.547893443449729
"Rutgers",0.54022727359512
"Ole Miss",0.532570027528489
"San Jose State",0.524921709709132
"Kansas State",0.517282324606018
"Mississippi State",0.517282324606018
"Maryland",0.509651876697826
"Nebraska",0.502030370472978
"Auburn",0.494417810429687
"West Virginia",0.486814201075983
"Colorado",0.486814201075983
"Virginia Tech",0.471633852518802
"Wake Forest",0.464057122380844
"Toledo",0.464057122380844
"Virginia",0.441380763132092
"Arkansas",0.441380763132092
"Ball State",0.426308095306938
"Marshall",0.403766542942351
"Fresno State",0.396270697117994
"Utah",0.373837239486346
"SMU",0.373837239486346
"Boston College",0.336628689804701
"Pittsburgh",0.336628689804701
"Purdue",0.314412094715047
"NC State",0.299646333069436
"Baylor",0.299646333069436
"San Diego State",0.292277057070475
"LSU",0.27022370586193
"Air Force",0.219084287105716
"Stanford",0.211815115797634
"Buffalo",0.190062399590908
"Florida Atlantic",0.182829776542922
"Central Michigan",0.175606302925224
"Tulane",0.132457878362791
"Memphis",0.11814849227147
"Wyoming",0.0190148738316214
"Kentucky",0.0120032329052363
"UAB",-0.00897603661356671
"Texas Tech",-0.0368183409640027
"Houston",-0.0506836595127198
"Michigan State",-0.0645116985044464
"Missouri",-0.0783024148163149
"Oregon State",-0.0851837634321249
"Western Michigan",-0.167029316403614
"Troy",-0.173788725579939
"California",-0.187279281576899
"Miami (OH)",-0.214147185822385
"Kent State",-0.227524443067038
"Northwestern",-0.35271365607286
"Washington State",-0.417216711337662
"Eastern Michigan",-0.417216711337662
"Louisville",-0.417216711337662
"Georgia State",-0.430001866916601
"Louisiana Tech",-0.561905763024125
"Washington",-0.561905763024125
"South Carolina",-0.568079739662024
"Tulsa",-0.617118470873745
"Hawai'i",-0.641401745916047
"Syracuse",-0.67153363170784
"Georgia Southern",-0.713301921441432
"South Alabama",-0.731053389774784
"Illinois",-0.760439481964633
"New Mexico",-0.777951003544535
"Charlotte",-0.80693601016591
"East Carolina",-0.80693601016591
"Georgia Tech",-0.824206167525949
"Utah State",-0.84138544036229
"Arkansas State",-0.886750933073641
"Tennessee",-0.920347560669801
"Florida State",-0.931464670948909
"Middle Tennessee",-0.959077971903661
"Northern Illinois",-0.975522556523666
"Texas State",-0.986434060046893
"Western Kentucky",-0.9918743208784
"North Texas",-1.02966619393198
"UTEP",-1.07223283052664
"Florida International",-1.09326518947739
"Southern Mississippi",-1.1858224731801
"Duke",-1.19086366816613
"Ohio",-1.19086366816613
"Rice",-1.23575255181083
"Kansas",-1.30862482983159
"Temple",-1.36979327996983
"Arizona",-1.42909076467929
"South Florida",-1.46464052339375
"Old Dominion",-1.48214412008358
"Navy",-1.48214412008358
"Colorado State",-1.48649162521315
"UNLV",-1.61952888218064
"Vanderbilt",-1.66248700971629
"Akron",-1.74044749541252
"Louisiana Monroe",-1.79957330651728
"UMass",-1.82613441046607
"Bowling Green",-1.86753627547458
"Connecticut",-1.8858982784441
"New Mexico State",-1.98581104590596
