"","team","fei"
"1","Alabama",2.96859430469198
"2","Ohio State",2.36249625277274
"3","Clemson",2.13259699169992
"4","Georgia",1.92359766345191
"5","Oklahoma",1.56829880543029
"6","Iowa",1.56829880543029
"7","Auburn",1.54739887260548
"8","Florida",1.50559900695588
"9","Texas",1.40109934283188
"10","Wisconsin",1.35929947718227
"11","Penn State",1.29659967870787
"12","Texas A&M",1.25479981305827
"13","Iowa State",1.25479981305827
"14","Cincinnati",1.25479981305827
"15","Notre Dame",1.23389988023346
"16","Michigan",1.21299994740866
"17","LSU",1.12940021610946
"18","Washington",1.10850028328466
"19","Utah",1.04580048481025
"20","Oklahoma State",1.04580048481025
"21","UCLA",1.00400061916065
"22","USC",0.962200753511047
"23","UCF",0.920400887861444
"24","Oregon",0.899500955036643
"25","TCU",0.836801156562239
"26","BYU",0.795001290912636
"27","Appalachian State",0.795001290912636
"28","Air Force",0.753201425263033
"29","Arizona State",0.753201425263033
"30","Ole Miss",0.753201425263033
"31","Kansas State",0.732301492438232
"32","Boise State",0.690501626788629
"33","Virginia Tech",0.606901895489424
"34","Minnesota",0.586001962664622
"35","Buffalo",0.565102029839821
"36","Memphis",0.54420209701502
"37","Marshall",0.502402231365417
"38","Miami",0.502402231365417
"39","North Carolina",0.481502298540616
"40","Army",0.460602365715814
"41","Kentucky",0.439702432891013
"42","Baylor",0.439702432891013
"43","Wake Forest",0.418802500066212
"44","Michigan State",0.418802500066212
"45","Indiana",0.356102701591808
"46","Texas Tech",0.356102701591808
"47","Tulane",0.335202768767006
"48","Louisiana",0.293402903117404
"49","Virginia",0.293402903117404
"50","Pittsburgh",0.272502970292602
"51","NC State",0.251603037467801
"52","Missouri",0.188903238993397
"53","SMU",0.188903238993397
"54","Tulsa",0.188903238993397
"55","Mississippi State",0.168003306168595
"56","Florida State",0.147103373343794
"57","Northwestern",0.126203440518993
"58","Ball State",0.105303507694191
"59","Wyoming",0.105303507694191
"60","Coastal Carolina",0.105303507694191
"61","West Virginia",0.0635036420445886
"62","Purdue",0.0426037092197873
"63","Fresno State",0.0426037092197873
"64","Tennessee",0.0217037763949859
"65","Colorado",0.000803843570184572
"66","Boston College",0.000803843570184572
"67","San Diego State",-0.0618959549042195
"68","Georgia Southern",-0.0618959549042195
"69","Syracuse",-0.0827958877290208
"70","Washington State",-0.0827958877290208
"71","Louisville",-0.124595753378624
"72","Stanford",-0.145495686203425
"73","Houston",-0.166395619028226
"74","California",-0.187295551853028
"75","Troy",-0.187295551853028
"76","Western Michigan",-0.208195484677829
"77","Toledo",-0.208195484677829
"78","South Carolina",-0.208195484677829
"79","Arkansas",-0.22909541750263
"80","Florida Atlantic",-0.22909541750263
"81","Nebraska",-0.249995350327432
"82","Maryland",-0.249995350327432
"83","Eastern Michigan",-0.291795215977034
"84","UAB",-0.312695148801836
"85","Liberty",-0.312695148801836
"86","Central Michigan",-0.312695148801836
"87","Oregon State",-0.333595081626637
"88","Nevada",-0.333595081626637
"89","Ohio",-0.37539494727624
"90","Rutgers",-0.396294880101041
"91","San Jose State",-0.417194812925842
"92","Miami (OH)",-0.417194812925842
"93","Western Kentucky",-0.417194812925842
"94","Louisiana Tech",-0.417194812925842
"95","Arkansas State",-0.458994678575445
"96","Duke",-0.521694477049849
"97","Georgia Tech",-0.542594409874651
"98","Navy",-0.542594409874651
"99","Illinois",-0.542594409874651
"100","Northern Illinois",-0.563494342699452
"101","Arizona",-0.605294208349055
"102","Kent State",-0.647094073998657
"103","Utah State",-0.667994006823459
"104","South Alabama",-0.709793872473061
"105","Hawai'i",-0.751593738122664
"106","Colorado State",-0.772493670947465
"107","UT San Antonio",-0.856093402246671
"108","East Carolina",-0.918793200721075
"109","Georgia State",-0.939693133545876
"110","Middle Tennessee",-0.960593066370678
"111","Charlotte",-0.960593066370678
"112","Kansas",-1.02329286484508
"113","Texas State",-1.08599266331949
"114","Southern Mississippi",-1.10689259614429
"115","Florida International",-1.12779252896909
"116","New Mexico",-1.19049232744349
"117","Rice",-1.21139226026829
"118","Vanderbilt",-1.2322921930931
"119","North Texas",-1.2949919915675
"120","South Florida",-1.3158919243923
"121","Temple",-1.3158919243923
"122","UNLV",-1.46219145416591
"123","Old Dominion",-1.62939091676432
"124","Louisiana Monroe",-1.62939091676432
"125","UTEP",-1.73389058088833
"126","New Mexico State",-2.08918943890995
"127","Connecticut",-2.29818876715796
"128","Bowling Green",-2.42358836410677
"129","Akron",-2.50718809540598
"130","UMass",-3.02968641602601
