"team","fei"
"Alabama",2.95414292181803
"Georgia",2.26731910138668
"Clemson",2.18406772921318
"Ohio State",1.99675214182281
"Iowa",1.62212096704207
"Oklahoma",1.55968243791195
"Michigan",1.5180567518252
"Auburn",1.49724390878183
"Penn State",1.49724390878183
"Wisconsin",1.47643106573845
"Florida",1.41399253660833
"Cincinnati",1.24748979226133
"Oregon",1.18505126313121
"LSU",1.12261273400109
"Texas A&M",1.10179989095771
"Iowa State",1.10179989095771
"Notre Dame",0.99773567574084
"UCLA",0.956109989654091
"UCF",0.935297146610717
"Oklahoma State",0.893671460523968
"BYU",0.893671460523968
"Texas",0.810420088350471
"Virginia Tech",0.810420088350471
"Kansas State",0.789607245307096
"Utah",0.789607245307096
"North Carolina",0.789607245307096
"Boise State",0.789607245307096
"Arizona State",0.789607245307096
"Air Force",0.789607245307096
"Ole Miss",0.747981559220347
"Washington",0.747981559220347
"Appalachian State",0.727168716176973
"TCU",0.643917344003475
"Miami",0.560665971829978
"Virginia",0.539853128786603
"Kentucky",0.519040285743229
"USC",0.498227442699855
"Marshall",0.47741459965648
"Baylor",0.456601756613106
"Minnesota",0.456601756613106
"Purdue",0.435788913569731
"Wake Forest",0.414976070526357
"Michigan State",0.414976070526357
"Texas Tech",0.414976070526357
"Memphis",0.373350384439608
"Army",0.373350384439608
"Pittsburgh",0.373350384439608
"Indiana",0.373350384439608
"Mississippi State",0.352537541396234
"Tulane",0.33172469835286
"Stanford",0.33172469835286
"Coastal Carolina",0.290099012266111
"Arkansas",0.269286169222736
"Tulsa",0.227660483135987
"Louisiana",0.206847640092613
"SMU",0.186034797049239
"San Diego State",0.186034797049239
"Colorado",0.186034797049239
"Florida Atlantic",0.165221954005864
"Nebraska",0.14440911096249
"Missouri",0.14440911096249
"Northwestern",0.123596267919115
"Houston",0.102783424875741
"NC State",0.102783424875741
"Florida State",0.0819705818323667
"Wyoming",0.0819705818323667
"West Virginia",0.0611577387889922
"Toledo",0.0403448957456178
"Fresno State",0.0195320527022434
"Tennessee",0.0195320527022434
"Buffalo",0.0195320527022434
"California",-0.0637193194712542
"Oregon State",-0.0845321625146286
"Washington State",-0.0845321625146286
"Ball State",-0.105345005558003
"Louisville",-0.126157848601377
"Rutgers",-0.146970691644752
"Liberty",-0.146970691644752
"Western Michigan",-0.146970691644752
"Syracuse",-0.230222063818249
"Boston College",-0.251034906861624
"Maryland",-0.251034906861624
"Arkansas State",-0.292660592948373
"South Carolina",-0.313473435991747
"Nevada",-0.313473435991747
"Western Kentucky",-0.313473435991747
"Troy",-0.313473435991747
"Central Michigan",-0.334286279035121
"Eastern Michigan",-0.37591196512187
"Louisiana Tech",-0.37591196512187
"Miami (OH)",-0.37591196512187
"Ohio",-0.396724808165245
"San Jose State",-0.500789023382117
"Duke",-0.521601866425491
"Georgia Tech",-0.542414709468865
"Georgia Southern",-0.542414709468865
"Northern Illinois",-0.56322755251224
"UAB",-0.646478924685737
"Utah State",-0.667291767729112
"Navy",-0.667291767729112
"Kent State",-0.667291767729112
"Illinois",-0.688104610772486
"East Carolina",-0.833794512076107
"Arizona",-0.833794512076107
"Colorado State",-0.833794512076107
"UT San Antonio",-0.89623304120623
"South Alabama",-0.917045884249605
"Charlotte",-0.958671570336353
"Hawai'i",-0.979484413379728
"Texas State",-0.979484413379728
"Vanderbilt",-1.02111009946648
"Middle Tennessee",-1.06273578555323
"Temple",-1.14598715772672
"Florida International",-1.14598715772672
"Southern Mississippi",-1.14598715772672
"Kansas",-1.1668000007701
"New Mexico",-1.1668000007701
"South Florida",-1.20842568685685
"North Texas",-1.22923852990022
"Georgia State",-1.29167705903034
"Rice",-1.37492843120384
"UNLV",-1.45817980337734
"Louisiana Monroe",-1.60386970468096
"Old Dominion",-1.62468254772433
"UTEP",-1.77037244902795
"New Mexico State",-1.99931372250507
"Bowling Green",-2.14500362380869
"Connecticut",-2.64451185684968
"Akron",-2.72776322902318
"UMass",-2.7902017581533
