"","team","fpi"
"1","Alabama",2.72291141259661
"2","Clemson",2.10080511446382
"3","Ohio State",2.09191788163335
"4","Oklahoma",1.90528599219351
"5","Georgia",1.86084982804117
"6","Texas A&M",1.50536051482243
"7","Texas",1.44314988500915
"8","Florida",1.42537541934821
"9","Notre Dame",1.35427755670447
"10","Auburn",1.30984139255212
"11","Penn State",1.27429246123025
"12","Ole Miss",1.1765329000951
"13","Miami",1.13209673594275
"14","Michigan",1.08766057179041
"15","Oregon",1.08766057179041
"16","Iowa",1.06988610612947
"17","Cincinnati",1.05211164046854
"18","NC State",1.05211164046854
"19","Iowa State",1.0343371748076
"20","North Carolina",1.02544994197713
"21","USC",0.989901010655258
"22","Michigan State",0.945464846502915
"23","Wisconsin",0.945464846502915
"24","LSU",0.909915915181042
"25","UCLA",0.901028682350573
"26","Virginia Tech",0.892141449520104
"27","Pittsburgh",0.856592518198231
"28","Texas Tech",0.838818052537294
"29","TCU",0.80326912121542
"30","Utah",0.758832957063077
"31","Florida State",0.68773509441933
"32","Arkansas",0.669960628758393
"33","Kentucky",0.652186163097456
"34","Boston College",0.643298930266987
"35","Appalachian State",0.616637231775582
"36","Virginia",0.598862766114645
"37","Tulane",0.536652136301366
"38","SMU",0.527764903470897
"39","Arizona State",0.527764903470897
"40","Minnesota",0.492215972149023
"41","Baylor",0.456667040827149
"42","UCF",0.412230876674807
"43","Mississippi State",0.412230876674807
"44","Coastal Carolina",0.39445641101387
"45","Indiana",0.385569178183401
"46","Rutgers",0.385569178183401
"47","Wake Forest",0.376681945352933
"48","Northwestern",0.358907479691996
"49","Washington",0.341133014031059
"50","Nebraska",0.341133014031059
"51","Tennessee",0.323358548370122
"52","Missouri",0.314471315539654
"53","Kansas State",0.314471315539654
"54","Oklahoma State",0.305584082709185
"55","West Virginia",0.287809617048248
"56","Buffalo",0.27892238421778
"57","Memphis",0.270035151387311
"58","South Carolina",0.261147918556843
"59","Purdue",0.252260685726374
"60","BYU",0.252260685726374
"61","Louisiana",0.234486220065437
"62","Troy",0.234486220065437
"63","Fresno State",0.225598987234969
"64","Maryland",0.2167117544045
"65","Army",0.190050055913095
"66","Marshall",0.145613891760753
"67","Boise State",0.0922904947779417
"68","Louisville",0.0834032619474732
"69","Georgia Tech",0.0123053993037254
"70","Toledo",0.00341816647325698
"71","UAB",-0.0054690663572115
"72","Colorado",-0.0321307648486169
"73","Stanford",-0.0410179976790854
"74","UT San Antonio",-0.0765669290009593
"75","Central Michigan",-0.12989032598377
"76","Nevada",-0.174326490136113
"77","Houston",-0.174326490136113
"78","Illinois",-0.19210095579705
"79","California",-0.24542435277986
"80","Oregon State",-0.254311585610329
"81","Washington State",-0.298747749762671
"82","Florida Atlantic",-0.30763498259314
"83","San Diego State",-0.325409448254077
"84","Duke",-0.334296681084545
"85","Syracuse",-0.334296681084545
"86","Tulsa",-0.352071146745482
"87","Liberty",-0.396507310897824
"88","Western Kentucky",-0.405394543728293
"89","Arkansas State",-0.414281776558761
"90","Middle Tennessee",-0.467605173541572
"91","Ball State",-0.485379639202509
"92","Louisiana Tech",-0.503154104863446
"93","Northern Illinois",-0.503154104863446
"94","San Jose State",-0.503154104863446
"95","Eastern Michigan",-0.53870303618532
"96","Western Michigan",-0.556477501846257
"97","Wyoming",-0.565364734676725
"98","Arizona",-0.565364734676725
"99","North Texas",-0.574251967507194
"100","Utah State",-0.65423706298141
"101","East Carolina",-0.663124295811879
"102","Texas State",-0.743109391286095
"103","Kent State",-0.778658322607969
"104","South Alabama",-0.814207253929843
"105","Georgia State",-0.929741280725933
"106","Florida International",-0.938628513556401
"107","Air Force",-0.94751574638687
"108","Miami (OH)",-0.956402979217338
"109","Georgia Southern",-0.974177444878275
"110","Hawai'i",-0.983064677708744
"111","Charlotte",-1.00972637620015
"112","Rice",-1.06304977318296
"113","South Florida",-1.06304977318296
"114","Colorado State",-1.11637317016577
"115","Kansas",-1.23190719696186
"116","Southern Mississippi",-1.2496816626228
"117","Ohio",-1.30300505960561
"118","UTEP",-1.34744122375795
"119","UNLV",-1.42742631923217
"120","Temple",-1.50741141470638
"121","New Mexico",-1.51629864753685
"122","Vanderbilt",-1.62294544150247
"123","Louisiana Monroe",-1.80069009811184
"124","Navy",-1.84512626226419
"125","Old Dominion",-2.01398368604309
"126","Bowling Green",-2.0673070830259
"127","UMass",-2.18284110982199
"128","Akron",-2.20061557548292
"129","New Mexico State",-2.44945809473604
"130","Connecticut",-2.51166872454932
