"team","fpi"
"Alabama",2.2308
"Georgia",2.0837
"Oklahoma",1.9021
"Ohio State",1.729
"Clemson",1.6944
"Michigan",1.6079
"Florida",1.5214
"Oregon",1.4089
"Penn State",1.3657
"Auburn",1.2705
"Texas",1.2705
"North Carolina",1.2359
"Texas A&M",1.2272
"Iowa",1.1667
"Iowa State",1.1407
"Ole Miss",1.1407
"Michigan State",1.1407
"Cincinnati",1.0542
"Wisconsin",1.0369
"Arkansas",1.011
"Notre Dame",1.011
"Virginia Tech",0.9331
"NC State",0.9244
"USC",0.8379
"Pittsburgh",0.7947
"LSU",0.786
"UCLA",0.7428
"Virginia",0.7341
"Baylor",0.7255
"Mississippi State",0.7168
"Nebraska",0.6909
"TCU",0.6649
"Appalachian State",0.6389
"Texas Tech",0.6216
"Miami",0.6043
"Washington",0.6043
"Fresno State",0.5784
"Minnesota",0.5611
"Purdue",0.5611
"Utah",0.5524
"SMU",0.5438
"Rutgers",0.5092
"Boston College",0.5092
"West Virginia",0.5005
"Coastal Carolina",0.4573
"UCF",0.4486
"BYU",0.4227
"Kansas State",0.4054
"Arizona State",0.3967
"Tulane",0.3794
"Indiana",0.3621
"Maryland",0.3621
"Oklahoma State",0.3621
"Stanford",0.3534
"Wake Forest",0.3534
"Tennessee",0.3275
"Houston",0.3015
"Georgia Tech",0.3015
"Boise State",0.2929
"Kentucky",0.2583
"Memphis",0.2064
"UT San Antonio",0.1891
"Oregon State",0.1891
"South Carolina",0.1631
"Liberty",0.1372
"Missouri",0.1372
"Louisville",0.1285
"San Diego State",0.042
"Louisiana",0.0333
"Northwestern",0.0333
"Army",0.0333
"Western Michigan",0.016
"Florida Atlantic",0.016
"Troy",0.0074
"Marshall",0.0074
"Buffalo",-0.0359
"Tulsa",-0.0359
"Toledo",-0.0445
"Wyoming",-0.0618
"Duke",-0.0791
"Florida State",-0.1829
"Syracuse",-0.1916
"Colorado",-0.2089
"Western Kentucky",-0.2262
"California",-0.2262
"Nevada",-0.2349
"UAB",-0.2608
"Illinois",-0.2954
"Central Michigan",-0.3906
"Louisiana Tech",-0.4079
"Kent State",-0.4165
"Middle Tennessee",-0.4771
"San Jose State",-0.5204
"Eastern Michigan",-0.529
"Utah State",-0.5377
"East Carolina",-0.6242
"Washington State",-0.6415
"Miami (OH)",-0.6847
"North Texas",-0.7107
"Air Force",-0.7453
"Charlotte",-0.8232
"Northern Illinois",-0.8318
"Colorado State",-0.8405
"Arkansas State",-0.9356
"Ball State",-0.9443
"Hawai'i",-0.9789
"Southern Mississippi",-0.9962
"Texas State",-1.0135
"Arizona",-1.0308
"South Alabama",-1.0481
"South Florida",-1.0481
"Georgia State",-1.1692
"Florida International",-1.2298
"Georgia Southern",-1.2557
"Vanderbilt",-1.299
"Temple",-1.299
"Kansas",-1.4201
"New Mexico",-1.5326
"UTEP",-1.5585
"Rice",-1.6277
"Old Dominion",-1.6623
"UNLV",-1.6883
"Ohio",-1.7316
"Bowling Green",-1.8613
"UMass",-1.9132
"Navy",-1.9565
"Louisiana Monroe",-2.0603
"New Mexico State",-2.2766
"Akron",-2.3026
"Connecticut",-2.6054
