"team","howell"
"Georgia",1.9056
"Cincinnati",1.5671
"Michigan State",1.5671
"Michigan",1.5671
"Ohio State",1.4621
"Alabama",1.4324
"Oklahoma",1.4069
"Wake Forest",1.3812
"Notre Dame",1.3297
"Oklahoma State",1.243
"Baylor",1.2386
"UT San Antonio",1.208
"Auburn",1.0752
"Iowa",1.0707
"Oregon",1.0572
"Wisconsin",1.0168
"BYU",0.9761
"Houston",0.9716
"Ole Miss",0.9716
"San Diego State",0.9579
"Minnesota",0.9488
"Texas A&M",0.9443
"Fresno State",0.926
"Kentucky",0.9215
"Penn State",0.9169
"Air Force",0.894
"Pittsburgh",0.8756
"SMU",0.8479
"NC State",0.8433
"Purdue",0.8155
"Appalachian State",0.7922
"Boise State",0.7829
"Coastal Carolina",0.7595
"Iowa State",0.7548
"Liberty",0.7408
"Utah",0.7125
"Texas",0.7031
"Arkansas",0.7031
"Louisiana",0.6936
"Clemson",0.6841
"Nevada",0.6841
"Kansas State",0.6699
"Virginia",0.6414
"Mississippi State",0.6127
"Florida",0.5307
"Utah State",0.5259
"Miami",0.4771
"UCF",0.4673
"West Virginia",0.4673
"Nebraska",0.4181
"Oregon State",0.3983
"Northern Illinois",0.3933
"Louisville",0.3585
"UCLA",0.3435
"Arizona State",0.3385
"Western Michigan",0.3235
"Tennessee",0.3084
"Syracuse",0.3084
"Maryland",0.3034
"Rutgers",0.2984
"LSU",0.2933
"Texas Tech",0.2478
"Washington State",0.2427
"Marshall",0.207
"Army",0.2019
"North Carolina",0.166
"Toledo",0.1402
"UTEP",0.1402
"UAB",0.1298
"Florida Atlantic",0.0987
"Western Kentucky",0.0934
"Virginia Tech",0.0882
"Eastern Michigan",0.0411
"Miami (OH)",0.02
"South Carolina",-0.0224
"USC",-0.0437
"East Carolina",-0.049
"TCU",-0.1297
"Florida State",-0.1568
"Ball State",-0.1568
"Boston College",-0.2115
"Illinois",-0.217
"Washington",-0.2723
"Memphis",-0.289
"Stanford",-0.3057
"Indiana",-0.3169
"South Alabama",-0.3337
"Middle Tennessee",-0.345
"Georgia State",-0.345
"San Jose State",-0.3506
"Colorado State",-0.3506
"Wyoming",-0.3902
"Georgia Tech",-0.3959
"Missouri",-0.4187
"Troy",-0.4187
"California",-0.4301
"Kent State",-0.4358
"Louisiana Monroe",-0.4415
"Hawai'i",-0.4588
"Central Michigan",-0.5574
"Northwestern",-0.6045
"Navy",-0.646
"Buffalo",-0.6699
"Tulsa",-0.6879
"Tulane",-0.7544
"Charlotte",-0.8279
"Bowling Green",-0.8279
"Louisiana Tech",-0.8713
"New Mexico",-1.0039
"Duke",-1.0489
"Rice",-1.0619
"South Florida",-1.0878
"Old Dominion",-1.114
"Temple",-1.2334
"Colorado",-1.2807
"North Texas",-1.3629
"Texas State",-1.4892
"Georgia Southern",-1.561
"Kansas",-1.6561
"UNLV",-1.7158
"Vanderbilt",-1.7763
"Akron",-1.7839
"New Mexico State",-1.8767
"Arkansas State",-2.0363
"Arizona",-2.1944
"UMass",-2.22
"Florida International",-2.2286
"Ohio",-2.2372
"Southern Mississippi",-2.2717
"Connecticut",-2.7167
