"","team","laz"
"1","Alabama",2.77266496158358
"2","Ohio State",2.19271900101404
"3","Georgia",2.02402402820686
"4","Iowa",1.99849181610632
"5","Oklahoma",1.58450523419033
"6","Clemson",1.80152903704497
"7","Texas",1.57629845172944
"8","Texas A&M",1.46869841501999
"9","UCLA",1.30273903636645
"10","Florida",1.42036958497253
"11","Penn State",1.39392550815411
"12","USC",1.26991190652289
"13","Cincinnati",1.23161358837207
"14","Auburn",1.23070172365419
"15","Michigan",1.18784408191399
"16","Notre Dame",1.08480336879393
"17","Oregon",1.04832878007887
"18","Wisconsin",1.25349834160111
"19","Ole Miss",1.02188470326044
"20","Kansas State",0.883281266143195
"21","Iowa State",0.873250754246551
"22","Utah",0.865955836503539
"23","Michigan State",0.842247353838745
"24","Virginia Tech",0.753796476204712
"25","LSU",0.964437226034214
"26","BYU",0.74103037015444
"27","TCU",0.674464245749444
"28","NC State",0.652579492520406
"29","Minnesota",0.856837189324771
"30","Kentucky",0.626135415701982
"31","Missouri",0.607898121344451
"32","Purdue",0.596955744729931
"33","Arizona State",0.604250662472945
"34","Miami",0.800301576816419
"35","Marshall",0.586925232833289
"36","Texas Tech",0.574159126783015
"37","UCF",0.570511667911509
"38","Wake Forest",0.509416731813774
"39","Maryland",0.491179437456241
"40","Oklahoma State",0.491179437456241
"41","Rutgers",0.447409930998162
"42","Virginia",0.430996366076384
"43","Arkansas",0.428260771922754
"44","Pittsburgh",0.406376018693714
"45","Tennessee",0.399992965668578
"46","Indiana",0.58327777396178
"47","Baylor",0.343457353160226
"48","West Virginia",0.524918432017677
"49","Mississippi State",0.271420040447973
"50","Northwestern",0.484796384431105
"51","Appalachian State",0.268684446294343
"52","North Carolina",0.484796384431105
"53","Army",0.267772581576466
"54","Washington",0.451969254587545
"55","South Carolina",0.148318303534626
"56","Syracuse",0.13646406220223
"57","Fresno State",0.225826804554141
"58","Boise State",0.327955652956323
"59","Boston College",0.0580436964648399
"60","Colorado",0.0543962375933328
"61","Tulane",0.25591834024407
"62","Florida State",0.234033587015031
"63","Buffalo",-0.00852242794015482
"64","UAB",-0.0112580220937848
"65","SMU",-0.0313190458870707
"66","Coastal Carolina",-0.0322309106049465
"67","Illinois",0.0388945373894311
"68","Memphis",-0.0741766876272724
"69","Toledo",-0.0896783878311753
"70","Troy",-0.100620764445694
"71","Nevada",-0.109739411624461
"72","Stanford",0.0999894734871645
"73","Nebraska",0.0206572430318982
"74","Louisiana",0.0817521791296328
"75","Oregon State",0.0689860730793599
"76","Louisville",0.046189455132444
"77","California",-0.0121698868116606
"78","Ball State",-0.249254713459586
"79","San Jose State",-0.163539429979183
"80","Arizona",-0.15077332392891
"81","Liberty",-0.376003909244439
"82","Washington State",-0.164451294697059
"83","UT San Antonio",-0.425244604009776
"84","Air Force",-0.417037821548886
"85","Central Michigan",-0.259285225356229
"86","Wyoming",-0.484515810671758
"87","Northern Illinois",-0.504576834465044
"88","Middle Tennessee",-0.544698882051616
"89","Arkansas State",-0.551993799794628
"90","Tulsa",-0.363237803194166
"91","Western Kentucky",-0.578437876613051
"92","San Diego State",-0.602146359277843
"93","Houston",-0.41065476852375
"94","Georgia Tech",-0.422509009856146
"95","Western Michigan",-0.435275115906419
"96","South Alabama",-0.665065024811332
"97","Louisiana Tech",-0.464454786878472
"98","Utah State",-0.692420966347631
"99","Florida Atlantic",-0.528285317129837
"100","Eastern Michigan",-0.770841332085021
"101","Kent State",-0.571142958870039
"102","Miami (OH)",-0.5921158473812
"103","Georgia Southern",-0.861115939154808
"104","Ohio",-0.658681971786195
"105","Kansas",-0.905797310330762
"106","Duke",-0.749868443573858
"107","North Texas",-1.02342785893685
"108","East Carolina",-0.839231185925769
"109","Charlotte",-1.06537363595917
"110","Hawai'i",-0.955038005096101
"111","Texas State",-0.956861734531854
"112","Rice",-0.99333632324692
"113","UTEP",-1.34166864547579
"114","New Mexico",-1.37176018116572
"115","Florida International",-1.42191274064894
"116","Navy",-1.2167431791267
"117","Georgia State",-1.2203906379982
"118","Colorado State",-1.34622796906518
"119","Vanderbilt",-1.39729239326627
"120","UNLV",-1.41826528177743
"121","South Florida",-1.50398056525783
"122","Southern Mississippi",-1.53954328925502
"123","Old Dominion",-1.6225229785818
"124","Temple",-1.69364842657617
"125","Louisiana Monroe",-1.72282809754823
"126","Akron",-1.82222135179678
"127","Bowling Green",-1.92435020019896
"128","UMass",-2.41493341841659
"129","Connecticut",-2.42496393031324
"130","New Mexico State",-2.75323522874882
