"team","laz"
"Georgia",2.4572
"Michigan",2.1542
"Alabama",1.9767
"Ohio State",2.0944
"Iowa",1.5966
"Cincinnati",1.4326
"Michigan State",1.3738
"Pittsburgh",1.6275
"Oklahoma",0.9686
"Wake Forest",1.1181
"Notre Dame",1.2445
"Oklahoma State",1.0901
"Penn State",1.4201
"Iowa State",1.4153
"Ole Miss",1.177
"Kentucky",0.9165
"UT San Antonio",0.5817
"Baylor",0.8866
"Texas A&M",0.8982
"Oregon",0.8519
"Virginia",0.7949
"Florida",1.3053
"SMU",0.5045
"Auburn",0.8576
"NC State",0.9146
"Wisconsin",1.0062
"Coastal Carolina",0.7525
"Minnesota",0.8953
"Texas",0.9753
"San Diego State",0.2769
"BYU",0.5007
"Air Force",0.5296
"Kansas State",0.7621
"Arizona State",0.7448
"Oregon State",0.6956
"Liberty",0.6319
"Purdue",0.7689
"Utah",0.8383
"Arkansas",0.5345
"UCLA",0.6753
"Fresno State",0.3946
"Clemson",0.6811
"North Carolina",0.7882
"Houston",0.2286
"Nebraska",1.0824
"Appalachian State",0.4139
"Louisville",0.546
"Tennessee",0.7506
"Boise State",0.7969
"Western Michigan",0.2489
"Mississippi State",0.3975
"Nevada",0.2585
"LSU",0.3705
"Utah State",0.027
"Army",0.3
"Louisiana",-0.2779
"Rutgers",0.4148
"Syracuse",0.3791
"Northern Illinois",-0.4563
"Florida State",0.3753
"Texas Tech",-0.1013
"UAB",-0.0299
"Georgia Tech",0.2267
"Virginia Tech",0.3203
"USC",0.2865
"Toledo",0.1244
"Washington State",0.082
"Miami",0.1814
"TCU",0.1765
"Maryland",-0.1457
"Stanford",0.1698
"Washington",0.2981
"Western Kentucky",0.2392
"Florida Atlantic",0.0289
"Colorado State",0.1071
"UCF",-0.1042
"Illinois",-0.0145
"Boston College",-0.2161
"Indiana",0.0859
"West Virginia",-0.0367
"Ball State",-0.3463
"South Carolina",-0.3386
"Eastern Michigan",-0.4718
"Marshall",-0.1418
"Wyoming",-0.5306
"Northwestern",-0.1785
"UTEP",-0.8924
"Memphis",-0.3869
"Tulsa",-0.4824
"California",-0.0868
"Miami (OH)",-0.628
"East Carolina",-0.4187
"Missouri",-0.5325
"Kent State",-0.8027
"Middle Tennessee",-0.4689
"Troy",-0.8393
"Buffalo",-0.6088
"South Alabama",-0.876
"Duke",-0.685
"Louisiana Monroe",-1.2001
"Hawai'i",-0.8393
"Georgia State",-0.8644
"San Jose State",-0.8953
"Louisiana Tech",-0.6116
"Charlotte",-1.0313
"South Florida",-0.7409
"Central Michigan",-1.0651
"Colorado",-0.6676
"Navy",-0.7776
"UNLV",-0.793
"Temple",-1.6208
"Texas State",-1.3333
"Vanderbilt",-1.4201
"Rice",-1.8687
"New Mexico",-1.5937
"Old Dominion",-1.067
"Tulane",-1.1924
"Kansas",-1.4616
"Bowling Green",-1.4568
"Georgia Southern",-1.6661
"Arizona",-1.2243
"Arkansas State",-1.4915
"North Texas",-1.477
"Southern Mississippi",-1.8253
"Akron",-2.0095
"UMass",-1.9372
"Ohio",-1.6661
"Florida International",-1.9102
"New Mexico State",-2.0771
"Connecticut",-2.1436
