"team","pirate"
"Georgia",2.63602761683916
"Alabama",2.38890542815797
"Ohio State",2.24662295588698
"Oklahoma",1.65502741328655
"Cincinnati",1.47530218515478
"Iowa State",1.41539377577752
"Texas A&M",1.41539377577752
"Auburn",1.37795101991673
"Florida",1.22817999647359
"Ole Miss",1.21320289412927
"Penn State",1.14580593357986
"Oklahoma State",1.1383173824077
"Texas",1.13082883123554
"Notre Dame",1.12334028006338
"Utah",1.11585172889123
"Michigan",1.07840897303044
"Wisconsin",1.0334776659975
"Iowa",1.0334776659975
"Clemson",1.00352346130887
"Arkansas",0.99603491013671
"Oregon",0.966080705448081
"Baylor",0.958592154275923
"West Virginia",0.951103603103766
"Wake Forest",0.891195193726508
"NC State",0.853752437865721
"Kentucky",0.831286784349249
"Michigan State",0.808821130832777
"LSU",0.786355477316305
"Minnesota",0.786355477316305
"Miami",0.77137837497199
"Mississippi State",0.763889823799833
"North Carolina",0.756401272627675
"Arizona State",0.748912721455518
"Pittsburgh",0.741424170283362
"Coastal Carolina",0.726447067939047
"USC",0.703981414422575
"Kansas State",0.696492863250417
"Louisiana",0.68900431207826
"Tennessee",0.681515760906102
"BYU",0.674027209733945
"Oregon State",0.65905010738963
"Nebraska",0.65905010738963
"UCLA",0.636584453873159
"TCU",0.636584453873159
"Purdue",0.5766760444959
"Washington",0.554210390979429
"Virginia",0.419416469880596
"Florida State",0.374485162847652
"Washington State",0.344530958159023
"Appalachian State",0.337042406986866
"Houston",0.329553855814709
"Louisville",0.307088202298236
"SMU",0.307088202298236
"California",0.292111099953922
"Stanford",0.292111099953922
"Boise State",0.284622548781764
"Fresno State",0.269645446437449
"Nevada",0.232202690576663
"Virginia Tech",0.224714139404506
"Liberty",0.217225588232349
"UCF",0.172294281199404
"Indiana",0.172294281199404
"Maryland",0.134851525338618
"UT San Antonio",0.134851525338618
"Texas Tech",0.112385871822146
"Syracuse",0.112385871822146
"San Diego State",0.104897320649989
"Air Force",0.104897320649989
"Army",0.022523257756258
"Boston College",5.76042397862643e-05
"Georgia Tech",-0.0149194981045286
"Missouri",-0.0373851516210003
"East Carolina",-0.0898050098261018
"Colorado",-0.142224868031203
"Miami (OH)",-0.14971341920336
"Toledo",-0.172179072719832
"South Carolina",-0.194644726236304
"Rutgers",-0.202133277408462
"UAB",-0.26204168678572
"Ball State",-0.26204168678572
"Marshall",-0.284507340302192
"Northwestern",-0.321950096162978
"Illinois",-0.336927198507293
"Eastern Michigan",-0.389347056712395
"Western Michigan",-0.396835607884552
"Colorado State",-0.40432415905671
"Central Michigan",-0.411812710228866
"Tulsa",-0.434278363745338
"San Jose State",-0.449255466089653
"Florida Atlantic",-0.449255466089653
"Georgia State",-0.464232568433968
"Tulane",-0.479209670778283
"Memphis",-0.48669822195044
"Utah State",-0.546606631327698
"Troy",-0.561583733672013
"Western Kentucky",-0.591537938360643
"Buffalo",-0.606515040704956
"South Alabama",-0.614003591877114
"Kent State",-0.636469245393586
"Arizona",-0.673912001254373
"Hawai'i",-0.688889103598688
"Middle Tennessee",-0.696377654770844
"Wyoming",-0.711354757115159
"Navy",-0.748797512975946
"Northern Illinois",-0.748797512975946
"South Florida",-0.831171575869676
"Ohio",-1.01089680400145
"Georgia Southern",-1.03336245751792
"Duke",-1.0558281110344
"UTEP",-1.13820217392813
"Arkansas State",-1.20559913447754
"UNLV",-1.22057623682186
"Louisiana Tech",-1.25801899268264
"New Mexico",-1.30295029971559
"Texas State",-1.38532436260932
"Rice",-1.38532436260932
"North Texas",-1.45272132315873
"Vanderbilt",-1.49016407901952
"Louisiana Monroe",-1.49765263019168
"Kansas",-1.55756103956894
"Charlotte",-1.59500379542972
"Temple",-1.6698893071513
"Old Dominion",-1.75975192121718
"Bowling Green",-1.78970612590581
"Southern Mississippi",-1.79719467707797
"Florida International",-1.8271488817666
"Akron",-1.88705729114386
"New Mexico State",-2.08175962161995
"Connecticut",-2.35883601498977
"UMass",-2.41125587319487
