"team","tpr"
"Georgia",2.5055
"Alabama",2.3657
"Michigan",2.0626
"Iowa",1.819
"Cincinnati",1.7278
"Florida",1.7052
"Ohio State",1.5143
"Pittsburgh",1.403
"Oregon",1.3101
"Clemson",1.3009
"Ole Miss",1.2749
"Kentucky",1.2557
"Penn State",1.1803
"Michigan State",1.172
"Arizona State",1.1309
"Nebraska",1.0949
"BYU",1.0246
"Oklahoma",0.9937
"Iowa State",0.9719
"NC State",0.961
"SMU",0.9049
"Rutgers",0.8873
"Kansas State",0.8681
"Wake Forest",0.8597
"Oklahoma State",0.8513
"Notre Dame",0.8003
"Western Michigan",0.7902
"Colorado State",0.7861
"Tennessee",0.7609
"Coastal Carolina",0.7593
"Boston College",0.7459
"Oregon State",0.6597
"Mississippi State",0.6546
"Arkansas",0.6504
"Liberty",0.6371
"Stanford",0.6362
"San Diego State",0.632
"Texas",0.6161
"Auburn",0.6128
"Fresno State",0.5977
"Utah",0.5408
"Baylor",0.5148
"UCLA",0.5048
"Washington",0.4194
"South Carolina",0.4186
"Georgia Tech",0.4102
"Louisiana Tech",0.3826
"Appalachian State",0.375
"LSU",0.3658
"Louisville",0.3633
"Air Force",0.3449
"West Virginia",0.3432
"Virginia Tech",0.3047
"UT San Antonio",0.3022
"Boise State",0.2687
"Toledo",0.2595
"Wyoming",0.2562
"Purdue",0.2076
"Nevada",0.1909
"Texas Tech",0.1607
"Minnesota",0.1432
"Syracuse",0.1331
"Texas A&M",0.1331
"North Carolina",0.1005
"USC",0.0728
"Marshall",0.0335
"Missouri",0.0218
"Indiana",0.0126
"Wisconsin",-8e-04
"Memphis",-0.0025
"Western Kentucky",-0.0192
"Army",-0.0234
"Houston",-0.0603
"Maryland",-0.0619
"TCU",-0.0711
"UCF",-0.0795
"East Carolina",-0.1038
"Utah State",-0.1289
"Florida Atlantic",-0.1758
"Hawai'i",-0.1758
"Buffalo",-0.2176
"Miami",-0.2905
"Virginia",-0.2955
"Florida State",-0.3114
"Tulsa",-0.3616
"Washington State",-0.3876
"UNLV",-0.4001
"South Florida",-0.416
"UAB",-0.421
"California",-0.4277
"Middle Tennessee",-0.4436
"Northern Illinois",-0.4453
"Arizona",-0.5006
"Troy",-0.5089
"Vanderbilt",-0.5282
"Bowling Green",-0.5776
"Tulane",-0.5818
"Kent State",-0.6019
"Illinois",-0.6052
"Ball State",-0.6345
"Miami (OH)",-0.663
"South Alabama",-0.6831
"San Jose State",-0.6973
"Louisiana",-0.7149
"Eastern Michigan",-0.8178
"North Texas",-0.8455
"Navy",-1.0087
"Colorado",-1.0129
"Charlotte",-1.0296
"Northwestern",-1.0397
"Duke",-1.1167
"Temple",-1.1225
"Arkansas State",-1.1728
"Louisiana Monroe",-1.2205
"Connecticut",-1.2213
"Old Dominion",-1.2648
"Georgia State",-1.2732
"Central Michigan",-1.2841
"Texas State",-1.2975
"New Mexico State",-1.346
"Georgia Southern",-1.5896
"Kansas",-1.6432
"Southern Mississippi",-1.7939
"UTEP",-1.9169
"UMass",-1.958
"Rice",-1.9672
"New Mexico",-2.0166
"Florida International",-2.1379
"Ohio",-2.5238
"Akron",-2.8311
