Team,Rating,Offense,Defense
1. Alabama,30.7,44.2 (4),13.5 (4)
2. Clemson,28.6,40.9 (9),12.2 (3)
3. Oklahoma,28.0,46.6 (1),18.6 (16)
4. Ohio St.,25.0,46.5 (2),21.5 (38)
5. Oregon,24.2,41.0 (8),16.9 (9)
6. Georgia,24.1,39.7 (15),15.6 (5)
7. Iowa St.,23.1,41.5 (6),18.4 (15)
8. Miami,22.7,40.5 (11),17.8 (13)
9. Wisconsin,22.4,34.7 (36),12.2 (2)
10. N. Carolina,21.7,44.8 (3),23.1 (43)
11. Washington,21.2,39.8 (14),18.6 (17)
12. Florida,21.2,41.5 (5),20.4 (29)
13. Texas A&M,20.9,37.3 (21),16.4 (8)
14. Penn St.,20.5,36.2 (29),15.7 (6)
15. Cincinnati,20.0,36.0 (30),15.9 (7)
16. Iowa,19.7,31.4 (51),11.7 (1)
17. USC,19.6,39.9 (13),20.3 (28)
18. Arizona St.,18.0,37.1 (23),19.1 (21)
19. Utah,17.7,34.7 (35),17.0 (10)
20. Texas,17.6,38.5 (18),20.9 (34)
21. UCLA,15.6,41.2 (7),25.6 (58)
22. Louisiana,15.3,36.2 (26),21.0 (35)
23. Michigan,15.3,35.3 (32),20.1 (27)
24. Ole Miss,14.9,40.6 (10),25.7 (59)
25. Notre Dame,14.8,34.8 (34),20.1 (26)
26. LSU,14.6,38.0 (19),23.3 (45)
27. Indiana,14.4,34.8 (33),20.4 (31)
28. Auburn,14.2,33.5 (38),19.3 (22)
29. Oklahoma St.,14.1,31.4 (49),17.4 (12)
30. Nebraska,14.0,32.7 (43),18.7 (19)
31. Minnesota,13.6,37.4 (20),23.8 (48)
32. Maryland,12.3,32.3 (45),20.0 (25)
33. TCU,12.1,31.1 (53),19.0 (20)
34. W. Virginia,12.0,29.1 (67),17.1 (11)
35. App. St.,11.2,30.9 (54),19.7 (24)
36. Va. Tech,11.0,36.2 (27),25.2 (57)
37. Coastal Caro.,10.4,36.2 (28),25.8 (60)
38. UCF,10.0,38.7 (17),28.7 (74)
39. Boise St.,9.3,33.4 (39),24.0 (50)
40. Purdue,8.9,35.7 (31),26.9 (63)
41. Arkansas,8.8,31.4 (50),22.6 (41)
42. Liberty,8.3,36.3 (25),28.0 (68)
43. Pittsburgh,8.3,29.2 (65),21.0 (36)
44. Miss. St.,8.1,28.8 (69),20.6 (32)
45. NC St.,8.1,29.0 (68),21.0 (37)
46. Wash. St.,7.8,40.4 (12),32.6 (102)
47. Louisville,7.6,38.9 (16),31.3 (93)
48. Ga. Tech,6.3,29.8 (61),23.5 (47)
49. Tennessee,6.1,28.3 (73),22.2 (40)
50. Colorado,6.0,30.6 (57),24.6 (54)
51. Baylor,5.8,25.2 (90),19.5 (23)
52. BYU,5.7,36.8 (24),31.1 (90)
53. Memphis,5.2,29.8 (60),24.6 (55)
54. California,5.2,29.7 (62),24.5 (53)
55. Tulsa,5.0,25.4 (89),20.4 (30)
56. Virginia,4.9,31.6 (47),26.7 (62)
57. Kentucky,4.8,28.1 (75),23.3 (44)
58. Missouri,4.7,29.6 (63),24.9 (56)
59. Michigan St.,4.6,23.3 (94),18.7 (18)
60. Oregon St.,4.5,37.2 (22),32.7 (104)
61. Florida St.,4.4,32.8 (41),28.5 (70)
62. Boston Coll.,2.9,34.4 (37),31.5 (95)
63. Kansas St.,2.6,29.9 (59),27.4 (65)
64. Wake Forest,2.5,30.7 (56),28.2 (69)
65. SMU,2.5,32.5 (44),30.1 (85)
66. Troy,2.0,26.1 (86),24.1 (51)
67. Tulane,1.9,33.3 (40),31.4 (94)
68. Stanford,1.6,31.9 (46),30.2 (87)
69. Houston,1.4,29.4 (64),28.0 (67)
70. Texas Tech,1.2,29.1 (66),27.9 (66)
71. Ball St.,-0.4,31.1 (52),31.6 (96)
