Team,Rating,Offense,Defense,Special Teams
1. Alabama (3-0),27.7,42.6 (4),15.2 (7),0.2 (19)
2. Oklahoma (3-0),26.9,45.4 (2),18.9 (15),0.3 (9)
3. Georgia (3-0),26.5,38.1 (10),11.5 (1),-0.1 (82)
4. Ohio St. (2-1),24.1,45.9 (1),22.3 (39),0.4 (5)
5. Clemson (2-1),23.9,37.4 (14),13.5 (4),0.1 (52)
6. Michigan (3-0),22.4,37.5 (13),15.6 (8),0.5 (2)
7. Penn St. (3-0),21.4,36.5 (16),15.1 (6),0.0 (58)
8. Florida (2-1),21.1,41.5 (5),20.3 (27),-0.1 (92)
9. Texas A&M (3-0),20.6,34.3 (30),13.9 (5),0.2 (25)
10. Wisconsin (1-1),19.8,32.8 (39),13.0 (3),0.0 (62)
11. N. Carolina (2-1),19.7,43.6 (3),23.9 (46),0.0 (65)
12. Ole Miss (2-0),17.8,41.5 (6),23.7 (45),0.0 (63)
13. Cincinnati (3-0),17.5,34.3 (31),16.5 (10),-0.3 (123)
14. Iowa St. (2-1),17.4,36.2 (19),18.9 (14),0.0 (71)
15. Oregon (3-0),16.9,37.3 (15),20.8 (29),0.4 (6)
16. Iowa (3-0),16.5,28.5 (69),12.2 (2),0.3 (11)
17. USC (2-1),16.5,38.5 (9),22.0 (36),0.1 (45)
18. Auburn (2-1),16.0,34.1 (34),18.4 (13),0.3 (14)
19. Washington (1-2),15.7,35.0 (26),19.1 (16),-0.2 (109)
20. UCLA (2-1),15.1,41.0 (7),26.2 (66),0.3 (7)
21. Notre Dame (3-0),14.8,34.2 (32),19.5 (19),0.1 (50)
22. Texas (2-1),14.5,37.6 (12),22.9 (40),-0.1 (93)
23. Arizona St. (2-1),13.6,33.2 (36),20.1 (25),0.4 (3)
24. Utah (1-2),13.1,31.3 (49),18.0 (12),-0.2 (111)
25. Va. Tech (2-0),12.8,35.7 (23),23.0 (41),0.0 (53)
26. Miami (1-2),12.7,34.2 (33),21.5 (33),0.1 (46)
27. LSU (2-1),11.4,34.5 (28),23.4 (42),0.3 (16)
28. TCU (2-0),11.0,31.4 (48),20.3 (26),-0.1 (100)
29. Minnesota (2-1),10.9,36.5 (17),25.4 (59),-0.1 (101)
30. UCF (2-1),10.6,39.2 (8),28.7 (83),0.0 (66)
31. Maryland (3-0),10.5,32.2 (43),21.7 (34),0.0 (57)
32. Tennessee (2-1),10.4,29.8 (57),19.7 (22),0.3 (10)
33. BYU (3-0),10.3,35.1 (24),25.0 (55),0.2 (33)
34. Arkansas (3-0),10.3,31.6 (47),21.4 (30),0.1 (43)
35. Coastal Caro. (3-0),9.7,38.1 (11),27.8 (77),-0.6 (129)
36. Nebraska (2-2),9.5,31.9 (44),22.1 (38),-0.3 (120)
37. Baylor (3-0),9.5,26.6 (77),17.3 (11),0.2 (31)
38. NC St. (2-1),9.4,29.5 (60),20.0 (24),-0.1 (86)
39. Pittsburgh (2-1),9.3,30.6 (53),21.5 (31),0.2 (32)
40. Michigan St. (3-0),9.1,28.6 (67),19.2 (17),-0.2 (116)
41. Oklahoma St. (3-0),9.0,28.6 (66),19.5 (20),-0.1 (89)
42. Miss. St. (2-1),8.7,28.4 (70),19.6 (21),-0.1 (97)
43. Fresno St. (3-1),8.2,36.1 (20),27.7 (76),-0.2 (117)
44. App. St. (1-1),8.0,30.0 (56),22.0 (35),0.0 (54)
45. Liberty (3-0),7.9,34.5 (29),26.3 (68),-0.2 (112)
46. W. Virginia (1-1),7.7,29.2 (62),21.5 (32),0.0 (67)
47. Boise St. (1-2),7.6,31.8 (45),24.5 (52),0.3 (12)
48. Kansas St. (3-0),7.5,32.5 (40),24.8 (53),-0.2 (106)
49. Indiana (1-2),7.5,29.5 (58),22.1 (37),0.0 (61)
50. Louisiana (2-1),7.4,32.4 (41),25.1 (56),0.1 (36)
51. Tulane (1-1),7.4,35.0 (25),27.6 (74),0.0 (80)
52. Boston Coll. (3-0),7.1,35.9 (21),29.2 (88),0.3 (8)
53. Texas Tech (3-0),7.0,32.3 (42),25.5 (61),0.3 (15)
54. Marshall (2-0),6.1,26.0 (80),19.9 (23),0.0 (73)
55. Purdue (2-1),5.7,33.2 (37),27.5 (73),-0.1 (81)
56. Missouri (2-1),5.6,30.6 (54),25.5 (60),0.6 (1)
57. Virginia (2-1),5.5,33.1 (38),27.3 (72),-0.3 (119)
58. Louisville (2-1),5.5,36.4 (18),31.0 (93),0.1 (41)
