"team","statfox"
"Alabama",2.5761
"Georgia",2.5761
"Ohio State",2.42
"Oklahoma",1.4832
"Texas A&M",1.4052
"Wisconsin",1.4052
"Iowa State",1.4052
"Cincinnati",1.4052
"Michigan",1.3271
"Oklahoma State",1.3271
"Notre Dame",1.3271
"Utah",1.249
"Penn State",1.171
"Ole Miss",1.171
"Clemson",1.171
"Auburn",1.171
"LSU",1.0929
"Iowa",1.0929
"Texas",1.0929
"Pittsburgh",1.0148
"Baylor",1.0148
"Florida",0.9368
"Oregon",0.9368
"Tennessee",0.7806
"NC State",0.7806
"Nebraska",0.7806
"Wake Forest",0.7806
"BYU",0.7806
"Boise State",0.7026
"Arizona State",0.7026
"Michigan State",0.7026
"North Carolina",0.7026
"Kentucky",0.7026
"Houston",0.6245
"Mississippi State",0.6245
"Arkansas",0.6245
"Coastal Carolina",0.5465
"Minnesota",0.5465
"Miami",0.5465
"Virginia",0.5465
"UCF",0.5465
"SMU",0.5465
"Purdue",0.4684
"UCLA",0.4684
"Washington",0.4684
"West Virginia",0.4684
"TCU",0.3903
"Louisville",0.3903
"Louisiana",0.3903
"Appalachian State",0.3903
"Kansas State",0.3123
"Washington State",0.3123
"UT San Antonio",0.3123
"USC",0.3123
"Liberty",0.2342
"Indiana",0.2342
"Marshall",0.2342
"Air Force",0.2342
"Boston College",0.1561
"Syracuse",0.1561
"Oregon State",0.1561
"San Diego State",0.1561
"South Carolina",0.0781
"Nevada",0.0781
"Virginia Tech",0.0781
"East Carolina",0.0781
"Fresno State",0
"California",0
"Army",0
"Memphis",0
"Western Kentucky",0
"Tulsa",-0.0781
"UAB",-0.0781
"Northwestern",-0.0781
"Stanford",-0.0781
"Illinois",-0.0781
"Florida State",-0.0781
"Georgia Tech",-0.1561
"Missouri",-0.1561
"Miami (OH)",-0.1561
"Texas Tech",-0.1561
"Tulane",-0.2342
"Maryland",-0.2342
"Florida Atlantic",-0.3123
"Colorado State",-0.3123
"Toledo",-0.3123
"Rutgers",-0.3903
"Colorado",-0.3903
"Ball State",-0.3903
"Central Michigan",-0.4684
"Eastern Michigan",-0.4684
"Georgia State",-0.4684
"Navy",-0.4684
"Troy",-0.4684
"Utah State",-0.4684
"Western Michigan",-0.5465
"Wyoming",-0.5465
"Buffalo",-0.5465
"Kent State",-0.6245
"San Jose State",-0.6245
"Ohio",-0.7026
"South Florida",-0.7806
"Hawai'i",-0.7806
"Middle Tennessee",-0.7806
"Arizona",-0.7806
"Georgia Southern",-0.9368
"Northern Illinois",-0.9368
"South Alabama",-0.9368
"UTEP",-1.0148
"Duke",-1.0148
"Louisiana Tech",-1.0929
"Old Dominion",-1.0929
"North Texas",-1.171
"Charlotte",-1.171
"UNLV",-1.249
"Rice",-1.3271
"New Mexico",-1.4052
"Arkansas State",-1.4052
"Kansas",-1.5613
"Vanderbilt",-1.5613
"Temple",-1.6394
"Southern Mississippi",-1.7955
"Texas State",-1.7955
"Louisiana Monroe",-1.7955
"Akron",-1.7955
"New Mexico State",-1.8736
"Bowling Green",-1.9516
"Florida International",-1.9516
"Connecticut",-2.42
"UMass",-2.8103
