"team","tr"
"Alabama",2.78085992052009
"Georgia",2.16121394480072
"Clemson",2.08744656673888
"Ohio State",2.05793961551415
"Oklahoma",1.689102725205
"Texas A&M",1.48255406663188
"Iowa",1.46042385321333
"Penn State",1.3866564751515
"Cincinnati",1.3423960483144
"Texas",1.23912171902784
"Wisconsin",1.2096147678031
"Michigan",1.18748455438456
"Florida",1.17273107877219
"Auburn",1.15060086535364
"Ole Miss",1.13584738974127
"Notre Dame",1.05470327387326
"UCLA",1.05470327387326
"USC",1.02519632264853
"LSU",1.01044284703616
"Miami",0.98093589581143
"Oregon",0.951428944586698
"North Carolina",0.951428944586698
"TCU",0.951428944586698
"NC State",0.944052206780515
"UCF",0.75963376162594
"Virginia Tech",0.707996596982658
"Minnesota",0.707996596982658
"Iowa State",0.700619859176475
"Utah",0.68586638356411
"Indiana",0.626852481114645
"Appalachian State",0.612099005502279
"Arizona State",0.612099005502279
"Boston College",0.604722267696096
"Arkansas",0.560461840858998
"Pittsburgh",0.545708365246632
"Wake Forest",0.545708365246632
"West Virginia",0.530954889634266
"Boise State",0.5162014140219
"Michigan State",0.508824676215717
"Kansas State",0.501447938409534
"Tulane",0.494071200603351
"Maryland",0.479317724990985
"Army",0.471940987184802
"Marshall",0.471940987184802
"Liberty",0.464564249378619
"Virginia",0.44243403596007
"Louisiana",0.435057298153886
"Missouri",0.42030382254152
"Florida State",0.412927084735337
"Coastal Carolina",0.405550346929154
"Texas Tech",0.405550346929154
"Kentucky",0.398173609122971
"Nebraska",0.398173609122971
"Purdue",0.368666657898239
"Oklahoma State",0.339159706673507
"SMU",0.309652755448775
"Rutgers",0.280145804224043
"BYU",0.235885377386945
"Mississippi State",0.235885377386945
"Buffalo",0.228508639580762
"Nevada",0.184248212743663
"Troy",0.184248212743663
"Toledo",0.184248212743663
"Louisville",0.17687147493748
"Washington",0.139987785906565
"Baylor",0.125234310294199
"Memphis",0.117857572488016
"Fresno State",0.0957273590694671
"California",0.0735971456509181
"UAB",0.0440901944261859
"South Carolina",0.0367134566200029
"Colorado",0.0367134566200029
"Northwestern",-0.00754697021709526
"Tennessee",-0.0149237080232783
"Oregon State",-0.0444306592480104
"Houston",-0.0591841348603764
"Syracuse",-0.0739376104727425
"Stanford",-0.103444561697475
"Illinois",-0.147704988534573
"San Jose State",-0.155081726340756
"UT San Antonio",-0.169835201953122
"Georgia Tech",-0.236225842208769
"Washington State",-0.243602580014952
"Central Michigan",-0.273109531239684
"East Carolina",-0.309993220270599
"Tulsa",-0.339500171495332
"Florida Atlantic",-0.391137336138613
"Ball State",-0.413267549557162
"Western Kentucky",-0.516541878843724
"Air Force",-0.516541878843724
"Western Michigan",-0.523918616649907
"Arizona",-0.575555781293188
"Wyoming",-0.597685994711738
"Louisiana Tech",-0.597685994711738
"San Diego State",-0.634569683742653
"Eastern Michigan",-0.634569683742653
"Kent State",-0.634569683742653
"Duke",-0.7009603239983
"Ohio",-0.730467275223032
"South Alabama",-0.737844013029215
"Miami (OH)",-0.745220750835398
"Rice",-0.752597488641581
"Middle Tennessee",-0.752597488641581
"Arkansas State",-0.759974226447764
"Northern Illinois",-0.77472770206013
"Georgia State",-0.833741604509594
"Georgia Southern",-0.885378769152876
"Florida International",-0.929639195989974
"Hawai'i",-0.959146147214706
"North Texas",-0.966522885020889
"Texas State",-0.966522885020889
"Utah State",-0.973899622827072
"South Florida",-1.01078331185799
"Charlotte",-1.0476670008889
"Navy",-1.17307154359401
"Southern Mississippi",-1.21733197043111
"New Mexico",-1.35748998874859
"Colorado State",-1.40912715339187
"UTEP",-1.45338758022897
"Vanderbilt",-1.49764800706607
"Kansas",-1.57879212293408
"Old Dominion",-1.60829907415881
"Temple",-1.615675811965
"Louisiana Monroe",-1.95500575104941
"Akron",-2.03614986691743
"UNLV",-2.04352660472361
"Bowling Green",-2.27220547671529
"Connecticut",-2.3533495925833
"UMass",-2.3976100194204
"New Mexico State",-2.58202846457497
