"team","tr"
"Georgia",2.44152149701539
"Alabama",2.35118699673448
"Oklahoma",2.0350162457513
"Clemson",2.00490474565766
"Ohio State",1.7113176197447
"Iowa",1.53064861918288
"Penn State",1.47042561899561
"Texas A&M",1.36503536866788
"Oregon",1.34245174359765
"Auburn",1.31234024350402
"Michigan",1.28222874341038
"Wisconsin",1.24458936829333
"Cincinnati",1.22200574322311
"Florida",1.18436636810606
"North Carolina",1.16931061805924
"UCLA",1.01875311759106
"Ole Miss",1.00369736754424
"UCF",0.913362867263331
"West Virginia",0.905834992239922
"TCU",0.875723492146285
"Maryland",0.868195617122876
"Miami",0.815500491959012
"Arkansas",0.807972616935603
"Notre Dame",0.800444741912193
"LSU",0.785388991865375
"Texas",0.785388991865375
"Virginia Tech",0.755277491771738
"Virginia",0.732693866701511
"Boise State",0.725165991678101
"Tulane",0.702582366607874
"Iowa State",0.687526616561056
"Appalachian State",0.679998741537646
"NC State",0.672470866514237
"Indiana",0.672470866514237
"Pittsburgh",0.664942991490828
"Nebraska",0.619775741350373
"Purdue",0.612247866326964
"USC",0.582136366233327
"Liberty",0.567080616186509
"Utah",0.506857615999235
"Kentucky",0.491801865952417
"Baylor",0.484273990929008
"Mississippi State",0.476746115905599
"Arizona State",0.46169036585878
"Wake Forest",0.439106740788553
"Rutgers",0.431578865765144
"Missouri",0.416523115718325
"Minnesota",0.401467365671507
"Coastal Carolina",0.386411615624688
"Marshall",0.378883740601279
"Toledo",0.37135586557787
"SMU",0.363827990554461
"Fresno State",0.348772240507643
"Michigan State",0.333716490460824
"BYU",0.333716490460824
"Boston College",0.326188615437415
"Nevada",0.296077115343778
"Colorado",0.288549240320369
"Houston",0.288549240320369
"California",0.28102136529696
"Army",0.258437740226732
"Oklahoma State",0.250909865203323
"Stanford",0.250909865203323
"Kansas State",0.205742615062868
"Memphis",0.160575364922413
"UT San Antonio",0.115408114781958
"Texas Tech",0.10035236473514
"Troy",0.0928244897117305
"Washington",0.0852966146883213
"South Carolina",0.0551851145946846
"Oregon State",0.0551851145946846
"Louisville",0.0551851145946846
"Tennessee",0.0326014895244571
"Buffalo",-0.0652608857798622
"Central Michigan",-0.0727887608032714
"UAB",-0.0803166358266806
"Louisiana",-0.095372385873499
"Florida Atlantic",-0.110428135920317
"Florida State",-0.193234761177818
"Northwestern",-0.223346261271455
"San Diego State",-0.238402011318273
"Syracuse",-0.245929886341683
"Illinois",-0.245929886341683
"Tulsa",-0.253457761365092
"San Jose State",-0.26851351141191
"Georgia Tech",-0.276041386435319
"East Carolina",-0.313680761552365
"Washington State",-0.336264386622593
"Air Force",-0.336264386622593
"Kent State",-0.351320136669411
"Western Kentucky",-0.351320136669411
"Ball State",-0.479294012067367
"Western Michigan",-0.479294012067367
"Wyoming",-0.501877637137595
"Miami (OH)",-0.584684262395096
"Duke",-0.599740012441914
"Eastern Michigan",-0.629851512535551
"Arkansas State",-0.690074512722824
"Middle Tennessee",-0.735241762863279
"Texas State",-0.795464763050553
"Louisiana Tech",-0.81804838812078
"Charlotte",-0.870743513284644
"Northern Illinois",-0.885799263331463
"South Alabama",-0.900855013378281
"Arizona",-0.923438638448508
"Utah State",-0.946022263518736
"Hawai'i",-0.9987173886826
"Southern Mississippi",-1.00624526370601
"South Florida",-1.01377313872942
"North Texas",-1.02882888877624
"Ohio",-1.09657976398692
"Georgia State",-1.10410763901033
"Florida International",-1.11916338905715
"Rice",-1.12669126408056
"Georgia Southern",-1.26972088952533
"Old Dominion",-1.29230451459556
"Temple",-1.36758326482965
"Navy",-1.39769476492329
"Vanderbilt",-1.43533414004033
"New Mexico",-1.51814076529783
"Colorado State",-1.53319651534465
"Kansas",-1.5708358904617
"UTEP",-1.59341951553193
"UNLV",-1.91711814153852
"Louisiana Monroe",-1.96981326670238
"Bowling Green",-2.09025926707693
"UMass",-2.1429543922408
"Akron",-2.27845614266216
"New Mexico State",-2.46665301824739
"Connecticut",-2.51182026838785
