"team","vs"
"Alabama",1.9015
"Georgia",1.8969
"Michigan",1.8105
"Oklahoma State",1.7922
"Notre Dame",1.704
"Arkansas",1.557
"Penn State",1.5425
"Iowa",1.4941
"Oregon",1.4648
"Oklahoma",1.3357
"Kentucky",1.3206
"Cincinnati",1.3004
"BYU",1.1929
"Texas",1.1929
"Ole Miss",1.1877
"Michigan State",1.1617
"SMU",1.1565
"Florida",1.1355
"Ohio State",1.1145
"Kansas State",1.0987
"Texas A&M",0.932
"Western Michigan",0.9265
"UT San Antonio",0.8879
"LSU",0.8602
"UCLA",0.8322
"Boston College",0.821
"Rutgers",0.7985
"Maryland",0.7928
"Baylor",0.7872
"Wake Forest",0.7359
"Wyoming",0.7302
"Auburn",0.7302
"Purdue",0.6899
"Coastal Carolina",0.6783
"Army",0.6724
"Louisville",0.6316
"Fresno State",0.6257
"Boise State",0.6139
"NC State",0.6021
"UAB",0.5962
"Wisconsin",0.5903
"Clemson",0.5724
"San Diego State",0.5366
"Pittsburgh",0.5185
"Miami",0.5064
"Memphis",0.5064
"Louisiana",0.4516
"Iowa State",0.396
"Arizona State",0.3898
"Oregon State",0.3836
"Indiana",0.3773
"TCU",0.3711
"Washington",0.3396
"UCF",0.3143
"Mississippi State",0.308
"Texas Tech",0.308
"Stanford",0.2696
"Appalachian State",0.2503
"West Virginia",0.2179
"South Carolina",0.2048
"Virginia Tech",0.1983
"South Alabama",0.1983
"Syracuse",0.1786
"Utah State",0.1654
"Duke",0.1323
"Missouri",0.1323
"Utah",0.0514
"Louisiana Monroe",0.031
"Air Force",0.0035
"Northern Illinois",0.0035
"Nevada",-0.0035
"North Carolina",-0.0382
"Liberty",-0.0452
"USC",-0.0522
"Georgia Tech",-0.0662
"Northwestern",-0.1016
"Houston",-0.1374
"Louisiana Tech",-0.21
"Virginia",-0.2247
"Tennessee",-0.2395
"Charlotte",-0.2469
"Minnesota",-0.2469
"Toledo",-0.2543
"Tulsa",-0.2617
"San Jose State",-0.2992
"Nebraska",-0.2992
"Eastern Michigan",-0.3372
"Kent State",-0.3524
"Florida Atlantic",-0.4458
"UTEP",-0.4935
"East Carolina",-0.5176
"Colorado State",-0.542
"Vanderbilt",-0.5583
"Georgia State",-0.583
"South Florida",-0.6246
"Bowling Green",-0.6329
"Western Kentucky",-0.6413
"Tulane",-0.6582
"Central Michigan",-0.6667
"Temple",-0.7268
"Ball State",-0.7617
"Buffalo",-0.7617
"Illinois",-0.7705
"Troy",-0.7971
"California",-0.8875
"Hawai'i",-0.9059
"Marshall",-0.9152
"Colorado",-0.9338
"Kansas",-1.0097
"Georgia Southern",-1.0194
"Miami (OH)",-1.0682
"Rice",-1.0979
"Florida State",-1.1688
"Middle Tennessee",-1.1998
"New Mexico",-1.2312
"Southern Mississippi",-1.2312
"Arkansas State",-1.2418
"Washington State",-1.2418
"Akron",-1.3171
"North Texas",-1.3951
"Texas State",-1.6607
"Arizona",-1.6867
"UNLV",-1.7669
"Old Dominion",-1.7807
"Connecticut",-1.8798
"UMass",-2.0166
"Navy",-2.1492
"Ohio",-2.2955
"Florida International",-2.7113
"New Mexico State",-2.8021
