id,cfbfastr,argh,donchess,fei,statfox,fpi,howell,laz,pirate,sp,tpr,tr,vs
1,Air Force,Air Force,Air Force Falcons,Air Force,AIR FORCE,Air Force Falcons,Air Force,Air Force,Air Force,Air Force,Air Force,Air Force,Air Force
2,Akron,Akron,Akron Zips,Akron,AKRON,Akron Zips,Akron,Akron,Akron,Akron,Akron,Akron,Akron
3,Alabama,Alabama,Alabama Crimson Tide,Alabama,ALABAMA,Alabama Crimson Tide,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama
4,Appalachian State,Appalachian St.,Appalachian State Mountaineers,Appalachian State,APPALACHIAN ST,Appalachian State Mountaineers,Appalachian State,Appalachian St,Appalachian St.,App. St.,Appalachian State,App State,Appalachian St
5,Arizona,Arizona,Arizona Wildcats,Arizona,ARIZONA,Arizona Wildcats,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
6,Arizona State,Arizona St.,Arizona State Sun Devils,Arizona State,ARIZONA ST,Arizona State Sun Devils,Arizona State,Arizona St,Arizona St.,Arizona St.,Arizona State,Arizona St,Arizona St
7,Arkansas,Arkansas,Arkansas Razorbacks,Arkansas,ARKANSAS,Arkansas Razorbacks,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas
8,Arkansas State,Arkansas St.,Arkansas State Red Wolves,Arkansas State,ARKANSAS ST,Arkansas State Red Wolves,Arkansas State,Arkansas St,Arkansas St.,Arkansas St.,Arkansas State,Arkansas St,Arkansas St
9,Army,Army,Army Black Knights,Army,ARMY,Army Black Knights,Army,Army,Army,Army,Army,Army,Army
10,Auburn,Auburn,Auburn Tigers,Auburn,AUBURN,Auburn Tigers,Auburn,Auburn,Auburn,Auburn,Auburn,Auburn,Auburn
11,Ball State,Ball St.,Ball State Cardinals,Ball State,BALL ST,Ball State Cardinals,Ball State,Ball St,Ball St.,Ball St.,Ball State,Ball State,Ball St
12,Baylor,Baylor,Baylor Bears,Baylor,BAYLOR,Baylor Bears,Baylor,Baylor,Baylor,Baylor,Baylor,Baylor,Baylor
13,Boise State,Boise State,Boise State Broncos,Boise State,BOISE ST,Boise State Broncos,Boise State,Boise St,Boise St.,Boise St.,Boise State,Boise State,Boise St
14,Boston College,Boston College,Boston College Eagles,Boston College,BOSTON COLLEGE,Boston College Eagles,Boston College,Boston College,Boston College,Boston Coll.,Boston College,Boston Col,Boston College
15,Bowling Green,Bowling Green,Bowling Green Falcons,Bowling Green,BOWLING GREEN,Bowling Green Falcons,Bowling Green,Bowling Green,Bowling Green,BGSU,Bowling Green,Bowling Grn,Bowling Green
16,Buffalo,Buffalo,Buffalo Bulls,Buffalo,BUFFALO,Buffalo Bulls,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo,Buffalo
17,BYU,Brigham Young,BYU Cougars,BYU,BYU,BYU Cougars,Brigham Young,Brigham Young,BYU,BYU,Brigham Young,BYU,Brigham Young
18,California,California,California Golden Bears,California,CALIFORNIA,California Golden Bears,California,California,California,California,California,California,California
19,Central Michigan,Central Michigan,Central Michigan Chippewas,Central Michigan,C MICHIGAN,Central Michigan Chippewas,Central Michigan,Central Michigan,Central Michigan,CMU,Central Michigan,Central Mich,Central Michigan
20,Charlotte,Charlotte,Charlotte 49ers,Charlotte,CHARLOTTE,Charlotte 49ers,Charlotte,UNC-Charlotte,Charlotte,Charlotte,Charlotte,Charlotte,UNC-Charlotte
21,Cincinnati,Cincinnati,Cincinnati Bearcats,Cincinnati,CINCINNATI,Cincinnati Bearcats,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati
22,Clemson,Clemson,Clemson Tigers,Clemson,CLEMSON,Clemson Tigers,Clemson,Clemson,Clemson,Clemson,Clemson,Clemson,Clemson
23,Coastal Carolina,Coastal Carolina,Coastal Carolina Chanticleers,Coastal Carolina,COASTAL CAROLINA,Coastal Carolina Chanticleers,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Caro.,Coastal Carolina,Coastal Car,Coastal Carolina
24,Colorado,Colorado,Colorado Buffaloes,Colorado,COLORADO,Colorado Buffaloes,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado
25,Colorado State,Colorado St.,Colorado State Rams,Colorado State,COLORADO ST,Colorado State Rams,Colorado State,Colorado St,Colorado St.,Colorado St.,Colorado State,Colorado St,Colorado St
